Id,AppId,PackageIdHash,AppActivityId,ActivityType,ActivityStatus,ParentActivityId,Tag,Group,MatchId,LastModifiedTime,ExpirationTime,Payload,Priority,IsLocalOnly,PlatformDeviceId,CreatedInCloud,StartTime,EndTime,LastModifiedOnClient,GroupAppActivityId,ClipboardPayload,EnterpriseId,OriginalPayload,OriginalLastModifiedOnClient,ETag
b'h\xceuZ]\x87\xf3o\x91\x19D\xd9\xda\xe5\xca\xdc',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1529042274,1534229085,"b'{""displayText"":""Google Chrome"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Google Chrome"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1529042274,0,1529042274,,,,,,15356
b'7\xae\xdd\xe2;\xc7\x99^\x0c\x85@78\x94\x10\xa0',"[{""application"":""VisualStudio.7f9189bb"",""platform"":""windows_win32""},{""application"":""VisualStudio.7f9189bb"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",TOOMpCbm2UBUPLWdFA/3LOx8jCJ8O4yizRMlRyycV2w=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1529742333,1534319013,"b'{""displayText"":""Visual Studio 2017"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Visual Studio 2017"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1529742333,0,1529742333,,,,,,15603
b'.#\xe0uL\x06\xe0\x88-\xff\xf29\x0cl\x97\x11',"[{""application"":""{6D809377-6AF0-444B-8957-A3773F02200E}\\MPC-HC\\mpc-hc64.exe"",""platform"":""windows_win32""},{""application"":""{6D809377-6AF0-444B-8957-A3773F02200E}\\MPC-HC\\mpc-hc64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",OMUpkeMrbtqm/VIjA9B+7W97/37ZzbNnsVFEZoxN+7U=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1529806595,1534054865,"b'{""displayText"":""MPC-HC x64"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""MPC-HC x64"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1529806595,0,1529806595,,,,,,14848
b'\xd1\xe1\x95\xecB\xacU\xa9\x1b\xf5\xc9\x06\xcd#\x00\xd6',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861533,1533453533,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":7,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861526,1530861533,1530861533,,,,,,13320
b'\xf5L\x91C\x9eg\x96\xfd\xd5\xd9\x92\xcd\x10Ndw',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861800,1533453800,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":274,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861533,1530861862,1530861862,,,,,,13329
b'q)F\xc0\xb0\x06h\x89\xa1@m\xc3\xa1l\xd5\xaa',"[{""application"":""windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel"",""platform"":""windows_universal""},{""application"":""windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861854,1533453854,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":53,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861801,1530861854,1530861854,,,,,,13326
b'?>|\xa1#U\xf4@\xf2)j=\x17h\x9d\x06',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""windows_win32""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",qy4Ff4UAA8NOS9c2wOeyLNjSX3NZ78RydGR9NeoA8PA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861877,1533453877,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":4,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861872,1530861877,1530861877,,,,,,13332
b'F\xe7\xea~\x80p\x12-\x0bV\x88\x7fW\xe7\xa1B',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""windows_win32""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",qy4Ff4UAA8NOS9c2wOeyLNjSX3NZ78RydGR9NeoA8PA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861883,1533453883,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":6,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861877,1530861883,1530861883,,,,,,13335
b'\x85\x03\xcc-\xe5\x81\xc3:\xea\xf0\xce\x9b93\xbb\xb8',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\steamapps\\common\\rocketleague\\Binaries\\Win32\\RocketLeague.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\steamapps\\common\\rocketleague\\Binaries\\Win32\\RocketLeague.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",q8wrqb81HfzpieSnySVoauwGLX58Gd+RnvSQ0BykgaQ=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530861894,1533453894,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":11,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530861883,1530861894,1530861894,,,,,,13338
b'\r\xa3\xac.\xc2\xbdsb]kt \xff\xe4\xa7@',"[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530864790,1533456790,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":14,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530864776,1530864790,1530864790,,,,,,13341
b'\x92\x9b\xa3\xc5\x96c\x98\xa2h\x11:\x8am\x16\x8f\x96',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\steamapps\\common\\rocketleague\\Binaries\\Win32\\RocketLeague.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\steamapps\\common\\rocketleague\\Binaries\\Win32\\RocketLeague.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",q8wrqb81HfzpieSnySVoauwGLX58Gd+RnvSQ0BykgaQ=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865211,1533457211,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":427,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530864790,1530865274,1530865274,,,,,,13362
b'\xa2;\xc4o\x7f|\xe22\xa7\x19i\x90\xae\xf6\xa2\xe7',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865243,1533457243,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":20,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865230,1530865260,1530865260,,,,,,13356
b'\x99`\x03A\xba\xe5\xa3\x80z\xdc\xf5\xe3J\xe2)\x08',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",W2uvLYF2TvPBARmWDeDJJluRdkhj2mxrr07zegJud1k=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865283,1535092612,"b'{""displayText"":""EpicGamesLauncher.exe"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""EpicGamesLauncher.exe"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865283,0,1530865283,,,,,,18057
b'\x91+\xcb\x98\xc5\xe6\x07\x19}\x8c\x03\xb2\x96\xed\x0f\x01',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",W2uvLYF2TvPBARmWDeDJJluRdkhj2mxrr07zegJud1k=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865294,1533457294,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":20,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865283,1530865335,1530865335,,,,,,13381
b'=`!u\xfa\xd6EqS\n\xf1q\xf4eyd',"[{""application"":""Chrome"",""platform"":""windows_win32""},{""application"":""Chrome"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",32EMzC3pf3hZ5f++I0Xo6llz6/jqQap85+g75uLTNwc=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865319,1533457319,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":670,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865294,1530866033,1530866033,,,,,,13408
b'Q\xfbi\xd5\xb4\xd9\xe9\xf9[\xf2\xbfK79GT',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",W2uvLYF2TvPBARmWDeDJJluRdkhj2mxrr07zegJud1k=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865377,1533457377,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":36,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865341,1530865377,1530865377,,,,,,13387
b'\xca\xe0q\xe0\x00\xf8#\xf9\xff\x9d\xbdC\x03\x08\xb0\xbe',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""windows_win32""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Steam\\Steam.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",qy4Ff4UAA8NOS9c2wOeyLNjSX3NZ78RydGR9NeoA8PA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865490,1533457490,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":9,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865481,1530865490,1530865490,,,,,,13393
"b'\x8d\xb2\xf4\x1e\xbf*m\x1a\x8b1,\xc4\xee\xc0\xd3\x96'","[{""application"":""com.squirrel.Discord.Discord"",""platform"":""windows_win32""},{""application"":""com.squirrel.Discord.Discord"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",LrQOCpNol0XWlhMvBhzGKQTtdWOrYL6zj81U+S0pMuA=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530865862,1533457862,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":36,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530865856,1530866186,1530866186,,,,,,13425
b'\xef\xedf\x96\x1d\xa6\xd3?\xc5\x8eR<\x15G\xc0\xb5',"[{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""x_exe_path""},{""application"":""{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Epic Games\\Launcher\\Portal\\Binaries\\Win64\\EpicGamesLauncher.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",W2uvLYF2TvPBARmWDeDJJluRdkhj2mxrr07zegJud1k=,ECB32AF3-1440-4086-94E3-5311F97F89C4,6,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530866039,1533458039,"b'{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":15,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Auckland""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530866034,1530866061,1530866061,,,,,,13418
b'\xe0\xec_\xbc\x06\x11\xccM\x04)\xef \x95\xb9\x89\x85',"[{""application"":""{6D809377-6AF0-444B-8957-A3773F02200E}\\Epic Games\\Fortnite\\FortniteGame\\Binaries\\Win64\\FortniteClient-Win64-Shipping_EAC.exe"",""platform"":""x_exe_path""},{""application"":""{6D809377-6AF0-444B-8957-A3773F02200E}\\Epic Games\\Fortnite\\FortniteGame\\Binaries\\Win64\\FortniteClient-Win64-Shipping_EAC.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""},{""application"":"""",""platform"":""windows_universal""}]",poLXDcUMHihfceMzI9HIvCLsvuJLziW2JABTsj1bwNw=,ECB32AF3-1440-4086-94E3-5311F97F89C4,5,1,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,1530866039,1533458039,"b'{""displayText"":""FortniteClient-Win64-Shipping_EAC.exe"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""FortniteClient-Win64-Shipping_EAC.exe"",""backgroundColor"":""black""}'",3,0,fVkdR0tyOUQBnWvyYS+05sHBwGEcKh+wNnZ7lgos4PU=,0,1530866039,0,1530866039,,,,,,13414
